Mon-Yr,CA,Alameda,Amador,Butte,Calaveras,Contra-Costa,Del Norte,El Dorado,Fresno,Glenn,Humboldt,Kern,Kings,Lake,Lassen,Los Angeles,Madera,Marin,Mariposa,Mendocino,Merced,Mono,Monterey,Napa,Nevada,Orange,Placer,Plumas,Riverside,Sacramento,San Benito,San Bernardino,San Diego,San Francisco,San Joaquin,San Luis Obispo,San Mateo,Santa Barbara,Santa Clara,Santa Cruz,Shasta,Siskiyou,Solano,Sonoma,Stanislaus,Sutter,Tehama,Tulare,Tuolumne,Ventura,Yolo,Yuba,LA Metro,Inland Empire,SF Bay Area
Jan-90,62,50.66,NA,NA,NA,39.66,NA,NA,NA,NA,122.21,46.2,NA,NA,NA,75.31,NA,NA,NA,NA,NA,NA,NA,NA,NA,80.03,NA,NA,101.55,NA,NA,124.05,57.01,NA,56.38,98.25,NA,65.14,NA,NA,NA,NA,NA,NA,NA,NA,NA,67.21,NA,81.1,NA,NA,66.99,45.59,110.33
Feb-90,64,53.28,NA,NA,NA,38.44,NA,NA,NA,NA,124.73,58.19,NA,NA,NA,80.53,NA,NA,NA,NA,NA,NA,NA,NA,NA,71.55,NA,NA,84.88,NA,NA,121,61.8,NA,59.63,94.63,NA,79.13,NA,NA,NA,NA,NA,NA,NA,NA,NA,68.25,NA,71.52,NA,NA,68.13,45.5,94.87
Mar-90,60,49.82,NA,NA,NA,31.92,NA,NA,NA,NA,83.04,61.47,NA,NA,NA,70.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,70.1,NA,NA,91,NA,NA,110.33,59.89,NA,57.28,83.56,NA,70.97,NA,NA,NA,NA,NA,NA,NA,NA,NA,55.17,NA,79.45,NA,NA,63.15,41.03,96.8
Apr-90,58,53.51,NA,NA,NA,31.77,NA,NA,NA,NA,105.5,43.74,NA,NA,NA,75.03,NA,NA,NA,NA,NA,NA,NA,NA,NA,61,NA,NA,86.78,NA,NA,79.64,58.29,NA,61.43,88.19,NA,65.83,NA,NA,NA,NA,NA,NA,NA,NA,NA,61.85,NA,61,NA,NA,61.84,42.24,84.78
May-90,60,47.35,NA,NA,NA,33.63,NA,NA,NA,NA,107.43,50.08,NA,NA,NA,77.45,NA,NA,NA,NA,NA,NA,NA,NA,NA,67.47,NA,NA,102.94,NA,NA,121,58.25,NA,61,97.44,NA,75.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,56.13,NA,70.67,NA,NA,63.62,40.3,106.82
Jun-90,63,50.25,NA,NA,NA,35.9,NA,NA,NA,NA,61,42.11,NA,NA,NA,80.76,NA,NA,NA,NA,NA,NA,NA,NA,NA,72.09,NA,NA,85.17,NA,NA,84.2,65.56,NA,59.28,94.63,NA,75.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,49.89,NA,79.71,NA,NA,65.09,42.52,84.85
Jul-90,63,54.61,NA,NA,NA,40.4,NA,NA,NA,NA,74.38,49.88,NA,NA,NA,76.14,NA,NA,NA,NA,NA,NA,NA,NA,NA,79.68,NA,NA,84.96,NA,NA,86.78,67.21,NA,58.05,95.83,NA,72.39,NA,NA,NA,NA,NA,NA,NA,NA,NA,51.65,NA,75.5,NA,NA,66.81,47.31,85.47
Aug-90,64,55.88,NA,NA,NA,40.85,NA,NA,NA,NA,57,46.12,NA,NA,NA,76.57,NA,NA,NA,NA,NA,NA,NA,NA,NA,71.78,NA,NA,81.54,NA,NA,99.46,70.65,NA,63.21,96.8,NA,68.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,56.01,NA,80.42,NA,NA,67.21,47.26,87.1
Sep-90,68,54.05,NA,NA,NA,45.5,NA,NA,NA,NA,47.43,50.94,NA,NA,NA,79.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,75.06,NA,NA,87.93,NA,NA,84.56,72.84,NA,66.8,100.67,NA,78.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,46.1,NA,85.17,NA,NA,70.98,48.89,87
Oct-90,67,59.7,NA,NA,NA,46.02,NA,NA,NA,NA,70.16,42.41,NA,NA,NA,84.94,NA,NA,NA,NA,NA,NA,NA,NA,NA,79.8,NA,NA,85.54,NA,NA,84.56,65.95,NA,57.03,100.67,NA,68.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,50.84,NA,76.75,NA,NA,68.65,52.4,85.17
