Mon-Yr,CA,Alameda,Amador,Butte,Calaveras,Contra-Costa,Del Norte,El Dorado,Fresno,Glenn,Humboldt,Kern,Kings,Lake,Lassen,Los Angeles,Madera,Marin,Mariposa,Mendocino,Merced,Mono,Monterey,Napa,Nevada,Orange,Placer,Plumas,Riverside,Sacramento,San Benito,San Bernardino,San Diego,San Francisco,San Joaquin,San Luis Obispo,San Mateo,Santa Barbara,Santa Clara,Santa Cruz,Shasta,Siskiyou,Solano,Sonoma,Stanislaus,Sutter,Tehama,Tulare,Tuolumne,Ventura,Yolo,Yuba,LA Metro,Inland Empire,SF Bay Area
Jan-90,10.70,11.72,NA,NA,NA,8.20,NA,NA,NA,NA,NA,5.90,NA,NA,NA,13.23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.10,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.43,NA,14.90,NA,NA,14.02,NA,NA
Feb-90,12.90,13.20,NA,NA,NA,9.80,NA,NA,NA,NA,NA,7.60,NA,NA,NA,22.11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.30,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.26,NA,14.40,NA,NA,18.61,NA,NA
Mar-90,9.80,8.96,NA,NA,NA,6.80,NA,NA,NA,NA,NA,6.10,NA,NA,NA,16.81,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.10,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.18,NA,12.80,NA,NA,15.17,NA,NA
Apr-90,10.80,10.29,NA,NA,NA,8.10,NA,NA,NA,NA,NA,4.90,NA,NA,NA,17.11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.40,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.64,NA,13.20,NA,NA,15.84,NA,NA
May-90,10.50,9.88,NA,NA,NA,9.40,NA,NA,NA,NA,NA,4.10,NA,NA,NA,17.08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.50,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.49,NA,11.20,NA,NA,15.13,NA,NA
Jun-90,11.20,10.29,NA,NA,NA,8.60,NA,NA,NA,NA,NA,4.80,NA,NA,NA,19.52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.40,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.67,NA,13.10,NA,NA,16.43,NA,NA
Jul-90,11.60,12.05,NA,NA,NA,9.20,NA,NA,NA,NA,NA,3.50,NA,NA,NA,16.81,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.40,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.64,NA,13.10,NA,NA,15.57,NA,NA
Aug-90,10.60,10.69,NA,NA,NA,8.70,NA,NA,NA,NA,NA,2.90,NA,NA,NA,18.38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.20,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.14,NA,12.00,NA,NA,15.56,NA,NA
Sep-90,13.40,13.95,NA,NA,NA,12.10,NA,NA,NA,NA,NA,3.90,NA,NA,NA,21.16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.90,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.06,NA,14.90,NA,NA,18.99,NA,NA
Oct-90,12.50,11.92,NA,NA,NA,11.80,NA,NA,NA,NA,NA,3.80,NA,NA,NA,17.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.80,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.66,NA,13.00,NA,NA,16.25,NA,NA
Nov-90,14.10,11.02,NA,NA,NA,12.10,NA,NA,NA,NA,NA,5.90,NA,NA,NA,22.23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.80,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.81,NA,11.90,NA,NA,18.66,NA,NA
Dec-90,14.20,10.22,NA,NA,NA,12.80,NA,NA,NA,NA,NA,6.00,NA,NA,NA,20.24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.44,NA,12.10,NA,NA,18.02,NA,NA
Jan-91,16.00,12.45,NA,NA,NA,13.20,NA,NA,NA,NA,NA,8.10,NA,NA,NA,24.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.10,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.57,NA,16.60,NA,NA,22.35,NA,NA
Feb-91,18.80,15.50,NA,NA,NA,16.40,NA,NA,NA,NA,NA,7.40,NA,NA,NA,27.93,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.15,NA,20.20,NA,NA,26.34,NA,NA
Mar-91,12.80,10.89,NA,NA,NA,8.90,NA,NA,NA,NA,NA,5.50,NA,NA,NA,17.28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.60,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.30,NA,12.70,NA,NA,17.13,NA,NA
Apr-91,10.20,7.62,NA,NA,NA,8.10,NA,NA,NA,NA,NA,4.50,NA,NA,NA,14.91,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.50,NA,10.20,NA,NA,14.19,NA,NA
May-91,9.80,6.38,NA,NA,NA,6.60,NA,NA,NA,NA,NA,4.70,NA,NA,NA,13.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.10,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.68,NA,7.70,NA,NA,12.58,NA,NA
Jun-91,11.00,6.63,NA,NA,NA,8.50,NA,NA,NA,NA,NA,5.40,NA,NA,NA,15.87,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.50,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.43,NA,8.30,NA,NA,13.97,NA,NA
Jul-91,11.20,8.39,NA,NA,NA,10.20,NA,NA,NA,NA,NA,4.60,NA,NA,NA,15.08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.80,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.75,NA,9.30,NA,NA,14.19,NA,NA
Aug-91,12.70,12.01,NA,NA,NA,9.90,NA,NA,NA,NA,NA,5.20,NA,NA,NA,16.55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.80,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.00,NA,9.80,NA,NA,15.05,NA,NA
Sep-91,13.80,12.68,NA,NA,NA,12.50,NA,NA,NA,NA,NA,4.70,NA,NA,NA,20.43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.69,NA,13.00,NA,NA,19.11,NA,NA
Oct-91,13.80,9.11,NA,NA,NA,12.50,NA,NA,NA,NA,NA,7.70,NA,NA,NA,20.52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.18,NA,11.60,NA,NA,18.36,NA,NA
