Mon-Yr,CA,Alameda,Amador,Butte,Calaveras,Contra-Costa,Del Norte,El Dorado,Fresno,Glenn,Humboldt,Kern,Kings,Lake,Lassen,Los Angeles,Madera,Marin,Mariposa,Mendocino,Merced,Mono,Monterey,Napa,Nevada,Orange,Placer,Plumas,Riverside,Sacramento,San Benito,San Bernardino,San Diego,San Francisco,San Joaquin,San Luis Obispo,San Mateo,Santa Barbara,Santa Clara,Santa Cruz,Shasta,Siskiyou,Solano,Sonoma,Stanislaus,Sutter,Tehama,Tulare,Tuolumne,Ventura,Yolo,Yuba,LA Metro,Inland Empire,SF Bay Area,
Jan-90,194952,226148.9,NA,102142.75,NA,NA,NA,NA,82083.13,NA,79641.89,85892,NA,NA,NA,215337.93,NA,346153,NA,140000,83889,93291,233333,178888,NA,231273.89,182220,NA,136832.04,123000,NA,128806,180484,287499,105000,227522.36,NA,273071.29,271840,250000,NA,NA,NA,174022,NA,NA,NA,86999.3,NA,250410,NA,NA,,203389.54,227365.83,NA
Feb-90,196273,219306,NA,83333,NA,NA,NA,NA,87186.78,NA,83571.07,80294,NA,NA,NA,208399.12,NA,338333,NA,116665.83,77499,NA,187856,186363,NA,233655.58,182630,NA,136021.27,126900,NA,124545,180714,300877,102500,236377.26,NA,259668.43,273100,261607,NA,NA,NA,180294,NA,NA,NA,84374.56,NA,235760,NA,NA,,211024.11,234739.46,NA
Mar-90,194856,225162,NA,100000,NA,NA,NA,NA,83888.5,NA,88888,87758,NA,NA,NA,208134.86,NA,358571,NA,111428,85909,NA,230555,180000,NA,242312.5,179470,NA,135835.18,127500,NA,127017,183701,290151,117692,216010.04,NA,253300.99,275500,260577,NA,NA,NA,178823,NA,NA,NA,84210.11,NA,240320,NA,NA,,209286.09,235336.5,NA
Apr-90,196111,229333,NA,107999.6,NA,NA,NA,NA,85428.03,NA,83499.65,80323,NA,NA,NA,219003.99,NA,359574,NA,133332.67,84285,NA,238095,158571,NA,239380.49,200000,NA,134629.07,135500,NA,131485,181567,288725,112692,189245.54,NA,217363.23,274660,255263,NA,NA,NA,184117,NA,NA,NA,88927.68,NA,230620,NA,NA,,210301.59,233178.5,NA
May-90,195281,232291,NA,100000,NA,NA,NA,NA,88749.13,NA,79061.59,86562,NA,NA,NA,209065.02,NA,374999,NA,138749.06,100000,NA,259375,187692,NA,256401.38,194610,NA,140823.47,138000,NA,130538,180794,282626,112778,199325.05,NA,227608.9,266670,262500,NA,NA,NA,185844,NA,NA,NA,85999.4,NA,235320,NA,NA,,210147.75,235881.36,NA
Jun-90,194410,231250,NA,123043.33,NA,NA,NA,NA,87999.2,NA,94545,87499,NA,NA,NA,210605.9,NA,394185,NA,145999.7,92000,NA,190833,177332,NA,244364.42,187600,NA,139951.65,142000,NA,130769,186733,305738,112666,223021.33,NA,269120.62,276960,238461,NA,NA,NA,185333,NA,NA,NA,88332.5,NA,242310,NA,NA,,209926.86,240385.71,NA
Jul-90,193088,232916,NA,113570.75,NA,NA,NA,NA,91346.02,NA,107691.92,88780,NA,NA,NA,225250.71,NA,357291,NA,163999.8,116249,NA,196363,184166,NA,236108.84,183890,NA,143126.61,145000,NA,131481,185861,296195,106999,213109.55,NA,234261.37,273600,234722,NA,NA,NA,185333,NA,NA,NA,94411.32,NA,236920,NA,NA,,208581.8,241503,NA
Aug-90,192180,228467,NA,113332.67,NA,NA,NA,NA,95178.05,NA,94444,86477,NA,NA,NA,213478.49,NA,365217,NA,143333.17,97222,NA,208823,172499,NA,234907.66,205450,NA,143827.17,142000,NA,129601,185639,284523,118076,233726.96,NA,210623.35,273340,269078,NA,NA,NA,180270,NA,NA,NA,92083.13,NA,231200,NA,NA,,199723.97,237727.08,NA
Sep-90,189979,225000,NA,117499.13,NA,NA,NA,NA,92499.75,NA,93999.6,92812,NA,NA,NA,211552,NA,337500,NA,147499.63,96999,NA,192000,177499,NA,226249.95,189170,NA,144070.08,139000,NA,126497,186272,278301,111667,206346.23,NA,214462.49,258060,256250,NA,NA,NA,182308,NA,NA,NA,83749.63,NA,239930,NA,NA,,193597.35,225568.58,NA
Oct-90,187630,221093,NA,127142.5,NA,NA,NA,NA,96891.2,NA,91249.88,87386,NA,NA,NA,207801.38,NA,351851,NA,125999.7,105000,NA,192727,197777,NA,229611.74,185710,NA,139775.12,136700,NA,126666,179444,272500,122143,174676.9,NA,214053.99,253470,245833,NA,NA,NA,183414,NA,NA,NA,90000,NA,238220,NA,NA,,199908.7,227917.15,NA
