Mon-Yr,CA,Alameda,Amador,Butte,Calaveras,Contra-Costa,Del Norte,El Dorado,Fresno,Glenn,Humboldt,Kern,Kings,Lake,Lassen,Los Angeles,Madera,Marin,Mariposa,Mendocino,Merced,Mono,Monterey,Napa,Nevada,Orange,Placer,Plumas,Riverside,Sacramento,San Benito,San Bernardino,San Diego,San Francisco,San Joaquin,San Luis Obispo,San Mateo,Santa Barbara,Santa Clara,Santa Cruz,Shasta,Siskiyou,Solano,Sonoma,Stanislaus,Sutter,Tehama,Tulare,Tuolumne,Ventura,Yolo,Yuba,LA Metro,Inland Empire,SF Bay Area
Jan-90,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Feb-90,-0.02,NA,NA,-0.68,NA,-0.07,NA,NA,0.16,NA,-0.2,-0.2,NA,NA,NA,-0.15,NA,-0.14,NA,-0.5,-0.48,NA,-0.29,0.18,NA,0.2,-0.13,NA,0.25,-0.17,NA,-0.18,0,0.13,0.09,-0.18,NA,-0.11,NA,-0.02,NA,NA,NA,-0.48,NA,NA,NA,0.12,NA,-0.05,NA,NA,-0.04,0.02,-0.15
Mar-90,-0.11,0.58,NA,0.26,NA,0.78,NA,NA,0.09,NA,0.43,0.19,NA,NA,NA,0.14,NA,0.4,NA,0.85,2.64,NA,0.47,-0.02,NA,0.31,0.57,NA,0.17,0.47,NA,0.52,0.33,0.29,0.22,0.58,NA,0.18,NA,0.55,NA,NA,NA,0.08,NA,NA,NA,0.79,NA,0.29,NA,NA,0.23,0.32,0.32
Apr-90,-0.05,-0.01,NA,-0.38,NA,-0.07,NA,NA,0.16,NA,-0.24,0.26,NA,NA,NA,0.02,NA,0.13,NA,-0.17,-0.65,NA,-0.06,-0.15,NA,-0.22,-0.14,NA,0.03,0.02,NA,0.04,-0.11,-0.12,-0.01,-0.29,NA,0.08,NA,0.09,NA,NA,NA,0.05,NA,NA,NA,0.09,NA,-0.07,NA,NA,-0.04,0.03,0.01
May-90,-0.04,0.09,NA,0.53,NA,-0.04,NA,NA,0.13,NA,-0.09,0.18,NA,NA,NA,0.34,NA,0.06,NA,0.55,0.48,NA,-0.06,0.11,NA,-0.03,0.43,NA,0.05,0.15,NA,0,0.12,0.18,0.05,-0.16,NA,0.17,NA,-0.09,NA,NA,NA,0.13,NA,NA,NA,-0.05,NA,0.25,NA,NA,0.17,0.03,0.01
Jun-90,0.03,0.07,NA,1.67,NA,0.2,NA,NA,0.11,NA,0.22,-0.16,NA,NA,NA,-0.05,NA,0.1,NA,-0.39,-0.1,NA,0.13,0.29,NA,0.12,-0.01,NA,0.1,0.11,NA,0.08,-0.09,-0.23,0.08,0.55,NA,-0.05,NA,0.12,NA,NA,NA,0.07,NA,NA,NA,0.12,NA,-0.09,NA,NA,0.01,0.09,0.04
Jul-90,0.02,-0.18,NA,0.05,NA,-0.04,NA,NA,-0.07,NA,0.07,0.29,NA,NA,NA,-0.18,NA,-0.19,NA,0.16,0.38,NA,-0.01,-0.04,NA,0.02,-0.2,NA,-0.08,-0.04,NA,-0.16,0.02,0.03,-0.09,-0.24,NA,-0.12,NA,-0.13,NA,NA,NA,0,NA,NA,NA,0.05,NA,-0.03,NA,NA,-0.12,-0.12,-0.05
Aug-90,0,0.14,NA,-0.1,NA,0.07,NA,NA,0.19,NA,0.06,0.18,NA,NA,NA,-0.09,NA,0.24,NA,0.14,-0.18,NA,0.12,0.09,NA,0.03,0.13,NA,0.13,-0.06,NA,0.15,0.09,0.13,0.01,-0.09,NA,0.05,NA,0.24,NA,NA,NA,-0.11,NA,NA,NA,0.13,NA,0.09,NA,NA,0.01,0.14,0.04
Sep-90,-0.01,-0.27,NA,-0.24,NA,-0.3,NA,NA,-0.19,NA,0.01,-0.25,NA,NA,NA,-0.12,NA,-0.23,NA,-0.32,-0.1,NA,-0.19,-0.24,NA,-0.17,-0.49,NA,-0.26,-0.35,NA,-0.11,-0.23,-0.18,-0.01,0.17,NA,-0.35,NA,-0.36,NA,NA,NA,0.03,NA,NA,NA,-0.2,NA,-0.2,NA,NA,-0.16,-0.19,-0.2
Oct-90,-0.03,0.03,NA,-0.03,NA,0.01,NA,NA,0.01,NA,0.16,0.12,NA,NA,NA,0.39,NA,-0.12,NA,0.12,0.35,NA,-0.2,0,NA,-0.12,-0.04,NA,0.02,-0.02,NA,-0.02,0.06,-0.03,-0.13,-0.17,NA,0.2,NA,0.29,NA,NA,NA,-0.24,NA,NA,NA,-0.04,NA,0.13,NA,NA,0.15,0,-0.04
Nov-90,-0.06,-0.03,NA,-0.21,NA,-0.1,NA,NA,-0.14,NA,-0.37,-0.33,NA,NA,NA,-0.23,NA,-0.03,NA,0.53,-0.21,NA,-0.14,-0.03,NA,-0.08,-0.09,NA,-0.21,-0.23,NA,-0.27,-0.23,-0.07,-0.23,-0.23,NA,-0.16,NA,-0.25,NA,NA,NA,0.35,NA,NA,NA,-0.19,NA,-0.05,NA,NA,-0.19,-0.24,0
Dec-90,-0.08,-0.06,NA,-0.22,NA,-0.16,NA,NA,-0.08,NA,-0.38,-0.1,NA,NA,NA,-0.17,NA,-0.19,NA,0.03,0.12,NA,-0.12,-0.23,NA,-0.2,-0.1,NA,-0.14,-0.03,NA,-0.01,-0.2,0,0.06,0.26,NA,-0.11,NA,-0.14,NA,NA,NA,-0.39,NA,NA,NA,-0.25,NA,-0.08,NA,NA,-0.15,-0.08,-0.09
Jan-91,0.03,-0.08,NA,0.04,NA,0.01,NA,NA,-0.2,NA,0.29,-0.2,NA,NA,NA,-0.05,NA,-0.01,NA,-0.5,0.02,NA,0.07,0.19,NA,-0.02,-0.3,NA,-0.06,-0.18,NA,-0.16,0.09,-0.26,-0.06,-0.32,NA,0.16,NA,-1,NA,NA,NA,-0.25,NA,NA,NA,0.12,NA,-0.33,NA,NA,-0.09,-0.12,-0.13
Feb-91,0.04,-0.16,NA,-0.11,NA,-0.14,NA,NA,-0.22,NA,-0.1,0.07,NA,NA,NA,-0.09,NA,-0.18,NA,-0.47,-0.46,NA,0.1,-0.44,NA,0.07,0.23,NA,0.01,0,NA,-0.16,-0.1,0.05,-0.18,-0.07,-0.15,-0.36,NA,NA,NA,NA,NA,0.03,NA,NA,NA,0.15,NA,-0.04,NA,NA,-0.05,-0.07,0.06
Mar-91,0.03,0.44,NA,0.44,NA,0.86,NA,NA,0.36,NA,-0.05,0.35,NA,NA,NA,0.39,NA,0.4,NA,0.5,0.49,NA,0.1,1.03,NA,0.6,0.26,NA,0.1,0.7,NA,0.26,0.32,0.57,0.23,0.88,0.49,0.46,NA,0.34,NA,NA,NA,1,NA,NA,NA,0.17,NA,0.63,NA,NA,0.4,0.17,0.62
Apr-91,0.1,0.42,NA,0.04,NA,0.15,NA,NA,0.17,NA,0.21,0.28,NA,NA,NA,0.26,NA,0.58,NA,-1,0.15,NA,0.28,-0.15,NA,0.14,0,NA,0.45,0.06,NA,0.29,0.26,0.46,0.37,-0.09,0.4,0.41,NA,0.49,NA,NA,NA,0.18,NA,NA,NA,0.03,NA,0.3,NA,NA,0.26,0.38,0.18
May-91,0.05,0.25,NA,0.4,NA,0.35,NA,NA,0.18,NA,0.53,-0.01,NA,NA,NA,0.31,NA,0.22,NA,NA,-0.14,NA,0.35,0.58,NA,0,0.28,NA,0.15,0.2,NA,0.24,0.24,0.14,-0.08,0.51,0.3,0.21,NA,0.11,NA,NA,NA,-0.16,NA,NA,NA,0.06,NA,0.35,NA,NA,0.22,0.19,0.06
Jun-91,0.02,-0.04,NA,-0.28,NA,-0.19,NA,NA,0.28,NA,0.15,-0.1,NA,NA,NA,-0.03,NA,-0.08,NA,0.53,0.35,NA,-0.08,-0.1,NA,-0.02,-0.01,NA,0.06,-0.04,NA,-0.01,0,-0.23,-0.05,-0.23,-0.12,-0.04,NA,0.07,NA,NA,NA,-0.02,NA,NA,NA,-0.07,NA,-0.07,NA,NA,-0.02,0.03,-0.14
Jul-91,-0.06,-0.09,NA,0.16,NA,-0.15,NA,NA,-0.34,NA,0.23,0.21,NA,NA,NA,-0.12,NA,0.06,NA,-0.12,0,NA,-0.07,0.15,NA,0.04,0.08,NA,-0.22,-0.12,NA,-0.15,0.08,0,0.06,-0.05,-0.08,-0.09,NA,0.22,NA,NA,NA,-0.02,NA,NA,NA,-0.19,NA,-0.07,NA,NA,-0.1,-0.19,-0.08
Aug-91,-0.05,-0.24,NA,0.14,NA,0.02,NA,NA,0.21,NA,-0.43,-0.1,NA,NA,NA,-0.19,NA,-0.1,NA,0,-0.14,NA,0.07,0.01,NA,-0.1,-0.07,NA,0.03,0.05,NA,0.16,-0.18,0,0,0.27,-0.15,0.03,NA,-0.28,NA,NA,NA,0.12,NA,NA,NA,0.68,NA,-0.02,NA,NA,-0.1,0.09,-0.07
Sep-91,-0.03,-0.18,NA,-0.14,NA,-0.25,NA,NA,0,NA,0.48,0.15,NA,NA,NA,-0.13,NA,-0.16,NA,-0.39,-0.25,NA,-0.35,-0.23,NA,-0.05,-0.19,NA,-0.22,-0.24,NA,-0.14,-0.23,-0.25,-0.3,-0.2,-0.28,-0.35,NA,-0.12,NA,NA,NA,-0.36,NA,NA,NA,-0.22,NA,-0.29,NA,NA,-0.14,-0.18,-0.17
Oct-91,-0.03,0.2,NA,-0.6,NA,-0.05,NA,NA,-0.12,NA,-0.18,-0.02,NA,NA,NA,0.14,NA,-0.16,NA,1.07,0.57,NA,0.57,-0.19,NA,-0.1,-0.04,NA,0.12,0.21,NA,-0.17,0.1,0.05,0.23,-0.04,0.22,0.25,NA,0.29,NA,NA,NA,0.25,NA,NA,NA,-0.11,NA,0.1,NA,NA,0.04,-0.03,0.09
Nov-91,-0.01,-0.18,NA,1.64,NA,-0.09,NA,NA,-0.23,NA,0.03,-0.43,NA,NA,NA,-0.19,NA,-0.04,NA,-0.45,-0.34,NA,-0.28,0.33,NA,-0.09,0.03,NA,-0.23,-0.21,NA,-0.02,-0.06,-0.07,-0.13,-0.21,-0.16,-0.27,NA,-0.22,NA,NA,NA,-0.31,NA,NA,NA,-0.01,NA,-0.24,NA,NA,-0.16,-0.14,-0.16
